2026-03-16 16:08:53,510 [rl_env] INFO: PortfolioEnv: 5 stocks, 300 timesteps, obs_dim=112, episode_length=50
2026-03-16 16:10:00,653 [rl_env] INFO: PortfolioEnv: 5 stocks, 300 timesteps, obs_dim=112, episode_length=50
2026-03-16 16:10:00,655 [rl_env] INFO: PortfolioEnv: 5 stocks, 300 timesteps, obs_dim=112, episode_length=50
2026-03-16 16:10:00,657 [rl_env] INFO: PortfolioEnv: 5 stocks, 300 timesteps, obs_dim=112, episode_length=50
2026-03-16 16:10:00,661 [rl_env] INFO: PortfolioEnv: 5 stocks, 300 timesteps, obs_dim=112, episode_length=50
2026-03-16 16:10:00,663 [rl_env] INFO: PortfolioEnv: 5 stocks, 300 timesteps, obs_dim=112, episode_length=50
2026-03-16 16:10:00,664 [rl_env] INFO: PortfolioEnv: 5 stocks, 300 timesteps, obs_dim=112, episode_length=50
2026-03-16 16:10:00,667 [rl_env] INFO: PortfolioEnv: 5 stocks, 300 timesteps, obs_dim=112, episode_length=50
2026-03-16 16:10:00,670 [rl_env] INFO: PortfolioEnv: 5 stocks, 300 timesteps, obs_dim=112, episode_length=50
2026-03-16 16:10:00,676 [rl_env] INFO: PortfolioEnv: 5 stocks, 300 timesteps, obs_dim=112, episode_length=50
2026-03-16 16:10:00,678 [rl_env] INFO: PortfolioEnv: 5 stocks, 300 timesteps, obs_dim=112, episode_length=50
2026-03-16 16:10:00,680 [rl_env] INFO: PortfolioEnv: 5 stocks, 300 timesteps, obs_dim=112, episode_length=50
2026-03-16 16:10:00,683 [rl_env] INFO: PortfolioEnv: 5 stocks, 300 timesteps, obs_dim=112, episode_length=50
2026-03-16 16:10:00,685 [rl_env] INFO: PortfolioEnv: 5 stocks, 300 timesteps, obs_dim=112, episode_length=50
2026-03-16 16:10:00,687 [rl_env] INFO: PortfolioEnv: 5 stocks, 300 timesteps, obs_dim=112, episode_length=50
2026-03-16 16:10:00,689 [rl_env] INFO: PortfolioEnv: 5 stocks, 300 timesteps, obs_dim=112, episode_length=50
2026-03-16 16:10:00,693 [rl_env] INFO: PortfolioEnv: 5 stocks, 300 timesteps, obs_dim=112, episode_length=50
